Model,Category,SKU,Color,Storage,CPU,RAM,Graphics,Resolution,Price,Image
MV912LL/A,1,2040393,1,43,7,35,25,27,"2,721.46",https://c1.neweggimages.com/ProductImage/34-098-968-S01.jpg
MV932LL/A,1,2040394,2,43,7,35,25,27,"2,721.46",https://c1.neweggimages.com/ProductImage/1TS-000M-006W6-V02.jpg
MRE82LL/A,2,2038799,1,41,9,34,19,27,"1,203.14",https://www.bhphotovideo.com/images/images2500x2500/apple_mre82ll_a_13_3_macbook_air_with_1441816.jpg
MREA2LL/A,2,2038800,2,41,9,34,19,27,"1,203.14",https://www.bhphotovideo.com/images/images2500x2500/apple_mrea2ll_a_13_3_macbook_air_with_1441818.jpg
MREE2LL/A,2,2038801,3,41,9,34,19,27,"1,203.14",https://hc.com.vn/i/ecommerce/media/00033815_FEATURE_43326.jpg
MRE92LL/A,2,2038802,1,42,9,34,19,27,"1,412.56",https://www.bhphotovideo.com/images/images2500x2500/apple_mre92ll_a_13_3_macbook_air_with_1441817.jpg
MREC2LL/A,2,2038803,2,42,9,34,19,27,"1,412.56",https://ak1.ostkcdn.com/images/products/is/images/direct/e772c312fe1914ec37d29ecaa2226a1264c539bd/Apple-MacBook-Air-MREC2LL-A-13.3%22-8GB-256GB-SSD-Core-i5-8210Y-macOS%2CSilver-%28Refurbished%29.jpg?impolicy=medium
MREF2LL/A,2,2038804,3,42,9,34,19,27,"1,412.56",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5998/5998801_sd.jpg
MQD32LL/A,2,2033974,,41,10,34,20,28,889,https://m.media-amazon.com/images/I/91wYB53Y4aL._AC_SS450_.jpg
MNYF2LL/A,1,2033976,1,42,11,34,21,27,"1,307.85",https://www.bhphotovideo.com/images/images2500x2500/apple_mnyf2ll_a_macbook_12_0_space_gray_m3_1342518.jpg
MNYH2LL/A,1,2033977,2,42,11,34,21,27,"1,307.85",https://media.ziqqi.com/media/product/large/proimage95805030.jpg
MRQN2LL/A,1,2038817,3,42,11,34,21,27,"1,307.85",https://api.getquipt.com/image/deb6a8c1-0625-42ac-9e14-c2c282d90ff6/1000
MNYG2LL/A,1,2033981,1,43,12,34,21,27,"1,621.99",https://m.media-amazon.com/images/I/61vft5jHQhL._AC_SX450_.jpg
MNYJ2LL/A,1,2033982,2,43,12,34,21,27,"1,621.99",https://i.ebayimg.com/images/g/5HgAAOSw4ydgyLSV/s-l225.jpg
MRQP2LL/A,1,2038818,3,43,12,34,21,27,"1,621.99",https://bookstore.appstate.edu/images/product/large/39223.jpg
MMQA2LL/A,4,2033985,,44,4,34,,37,"1,098.43",https://www.bhphotovideo.com/images/images2500x2500/apple_mmqa2ll_a_21_5_imac_mid_2017_1342554.jpg
MRT32LL/A,4,2039882,,44,13,34,24,40,"1,307.85",http://cdn.shopify.com/s/files/1/0421/2362/4597/products/appimmrt32lla_765__2_1024x.jpg?v=1609687699
MRT42LL/A,4,2039883,,44,14,34,25,40,"1,464.92",https://www.bhphotovideo.com/images/images2500x2500/apple_mrt42ll_a_21_5_imac_with_retina_1468275.jpg
MRQY2LL/A,4,2039885,,44,14,34,26,39,"1,779.06",https://i.ebayimg.com/images/g/QF8AAOSwWNZeNtQG/s-l640.jpg
MRR02LL/A,4,2039886,,44,15,34,22,39,"1,988.48",https://media.datamemorysystems.com/data/Image/Apple/Apple%20Sub%20Cats/imac-27-retina-selection-hero-201903.jpg?rev=2A98
MRR12LL/A,4,2039887,,44,16,34,23,39,"2,197.90",https://cdn11.bigcommerce.com/s-ilhtqzrn07/images/stencil/1280x1280/products/625/875/Screen-Shot-2019-05-07-at-4.49.40-PM__43934.1571841638.png?c=1
